person_id,first_name,last_name,date_of_birth,gender,address,city,state,zip_code
1,Cassondra,Wrates,14-Aug-1983,Female,7831 Milwaukee Hill,Lake Charles,LA,70616
2,Melisent,Greenig,05-Jan-1967,Female,75 Birchwood Way,Columbia,SC,29240
3,Cornie,Henriquet,08-Apr-1993,Female,242 Everett Drive,Tyler,TX,75799
4,Sherilyn,Astlett,30-Dec-2001,Female,998 Vermont Street,Austin,TX,78737
5,Aarika,Molineaux,21-Jan-1958,Female,4 Morningstar Alley,Austin,TX,78726
6,Mira,Stailey,25-May-1973,Female,1 Lerdahl Trail,Nashville,TN,37245
7,Wes,Romaynes,25-Aug-1944,Male,42 Memorial Hill,Dallas,TX,75342
8,Marcellus,Otton,08-Mar-1974,Male,69788 Florence Parkway,Conroe,TX,77305
9,Mathe,Youens,21-Sep-1947,Male,4734 Transport Junction,Salem,OR,97312
10,Lana,Michell,12-Oct-2000,Female,23 Montana Hill,Decatur,GA,30033
11,Sabine,Moppett,27-Nov-1969,Female,87 Straubel Terrace,Tulsa,OK,74116
12,Myrwyn,Jahns,22-May-1980,Male,6431 Caliangt Park,Saint Paul,MN,55123
13,Nancee,Steinor,16-Jul-1996,Female,7 Shasta Avenue,Clearwater,FL,34629
14,Pembroke,Jaquest,07-Apr-1969,Male,1 Veith Lane,Dallas,TX,75342
15,Stoddard,Vanelli,18-Aug-1956,Female,23900 Colorado Lane,Champaign,IL,61825
16,Darnall,McQuillan,06-Sep-1968,Male,5729 Farwell Junction,Greensboro,NC,27455
17,Callida,Duer,12-Apr-1978,Female,953 Blue Bill Park Lane,Irvine,CA,92710
18,Pegeen,Went,28-Jun-1974,Female,8356 Warner Trail,Tampa,FL,33605
19,Charo,Alty,30-Jul-1971,Female,3 Bobwhite Place,Baton Rouge,LA,70820
20,Krystyna,Pomfrey,24-Mar-1949,Female,59 Homewood Street,Trenton,NJ,08650
21,Amory,Labrenz,30-May-1943,Male,86 Northland Plaza,Wilkes Barre,PA,18768
22,Brenna,Botwood,24-Jan-1942,Female,6 Michigan Road,Birmingham,AL,35242
23,Germain,D'Agostino,16-Feb-1995,Male,5459 Cody Court,Naples,FL,34102
24,Dael,Sidebotham,04-Nov-2000,Female,23 Porter Place,Dallas,TX,75265
25,Maia,Coiley,27-Aug-1988,Female,02 East Road,Mobile,AL,36610
26,Helyn,Duddle,29-May-1990,Female,6138 Hollow Ridge Place,Los Angeles,CA,90081
27,Gert,Arnowitz,15-Feb-1999,Female,0 Delladonna Parkway,Minneapolis,MN,55436
28,Malissia,Grossier,25-Jan-1940,Female,13408 Portage Way,Richmond,VA,23293
29,Malachi,Mattingson,19-Dec-1941,Male,41 Shelley Circle,Idaho Falls,ID,83405
30,Merrel,Cursey,25-Feb-1963,Male,84 Bonner Lane,Baltimore,MD,21216
31,Haskel,Douthwaite,09-Nov-1994,Male,256 Butternut Circle,Missoula,MT,59806
32,Ingmar,Croce,20-Sep-1979,Male,97 Emmet Street,Norfolk,VA,23551
33,Ardine,Laxe,04-Aug-1962,Female,7254 Fairfield Road,Fresno,CA,93762
34,Morey,Rama,23-Apr-1986,Male,506 Village Lane,Joliet,IL,60435
35,Thaxter,Drever,02-Mar-1964,Male,92 Thackeray Trail,Waterbury,CT,06721
